X,Y,id,
-1035284.91295608,5305853.47640701,,
-1032901.20853125,5321065.98468708,,
-1025154.16915056,5336167.14856811,,
-1018896.94503539,5341887.48375145,,
-1005488.60764573,5345430.40412758,,
-1002409.656097,5347611.33282931,,
-1000423.23574298,5353202.29565983,,
-997145.642158838,5356885.98446887,,
-991583.665167574,5360707.64781819,,
-983935.946804586,5364667.45601164,,
-972216.06671585,5357841.25307492,,
-962780.570034242,5360025.09272526,,
-956225.382865966,5362755.6138402,,
-949769.516715392,5364667.45601164,,
-947087.84923746,5368082.43862136,,
-941327.230210794,5369995.37741741,,
-936758.463396541,5371908.71035269,,
-932785.622688496,5369722.07632148,,
-930699.881316771,5370815.3289701,,
-928415.497909645,5373275.61818514,,
-925336.54636091,5375873.29776096,,
-924839.941272404,5379702.7831155,,
-928812.78198045,5382712.77397871,,
-927025.003661829,5390515.93606337,,
-926031.793484818,5399148.1381576,,
-920668.458528956,5413553.06393241,,
-920867.100564358,5433344.99535027,,
-917291.543927117,5452903.74852747,,
-921661.668705967,5478862.61894328,,
-929210.066051254,5504895.20511231,,
-947882.41737907,5530445.90564854,,
-967746.620919299,5546590.83847768,,
-986418.972247114,5557741.9912009,,
-1004694.03950413,5563880.9634445,,
-1024558.24304435,5565555.94919908,,
-1054751.8324255,5562764.47794133,,
-1069054.05897447,5563880.9634445,,
-1081767.14924021,5556068.44588151,,
-1103617.77313447,5541020.3853677,,
-1117522.71561263,5520994.91919521,,
-1128249.38552435,5498795.83090954,,
-1136989.63508205,5476650.49252304,,
-1142948.89614412,5463941.10733841,,
-1156853.83862228,5429768.30938478,,
-1176320.75809171,5417123.46874936,,
-1201746.9386232,5375463.08948688,,
-1213268.17667653,5338345.90996953,,
-1227570.4032255,5312234.28345163,,
-1234721.51649998,5291072.15056548,,
-1241078.06163285,5246192.99869181,,
-1244653.61827009,5227331.96858717,,
-1238694.35720803,5200452.74243576,,
-1222008.42623423,5174184.80855543,,
-1216049.16517216,5150658.91532865,,
-1197376.81384435,5123462.61574825,,
-1179499.03065814,5110159.2637703,,
-1161621.24747194,5093157.83835247,,
-1144140.74835653,5059244.8237185,,
-1131030.37401998,5038637.34096263,,
-1121495.55632067,5022815.21422074,,
-1107193.32977171,4991248.0565671,,
-1094877.52357677,4969735.82407272,,
-1074218.75189493,4967639.60343673,,
-1054751.8324255,4974453.96428839,,
-1035682.19702688,4987046.82337363,,
-1012242.43684941,5005966.65213989,,
-997940.210300447,5023869.22018198,,
-985227.120034701,5028613.66407394,,
-977281.438618609,5047086.38345518,,
-977678.722689414,5063477.43461785,,
-980459.711185046,5080426.46825475,,
-987610.824459528,5118671.28196363,,
-990391.81295516,5150124.90994273,,
-989994.528884356,5173114.188354,,
-981651.56339746,5187577.73985205,,
-980062.427114241,5194549.53154316,,
-984829.835963896,5199379.15810023,,
-992378.233309183,5209045.79650517,,
-992775.517379988,5221411.98563764,,
-998734.778442056,5229485.60919579,,
-1005885.89171654,5237566.13723377,,
-1014626.14127424,5252128.5473126,,
-1010256.01649539,5263470.4454274,,
-1016215.27755746,5277531.76726746,,
-1033695.77667286,5293782.57421312,,
